Lex	Type	Regex	Direction	Unnamed: 4	Unnamed: 5	Unnamed: 6	Code
acute	ACUTE		bidirectional				
cannot be evaluated	AMBIVALENT_EXISTENCE		bidirectional				
incompletely evaluated	AMBIVALENT_EXISTENCE		bidirectional				
is in the differential	AMBIVALENT_EXISTENCE	is\sin\sthe\sdifferential	backward				
is not excluded	AMBIVALENT_EXISTENCE	(is|was|are|were)\snot\sexcluded	backward				
not entirely excluded	AMBIVALENT_EXISTENCE		backward				
not excluded	AMBIVALENT_EXISTENCE	not\s(excluded|ruled\sout)	backward				
unclear whether or not	AMBIVALENT_EXISTENCE		forward				
abd	ANATOMY		bidirectional				
abdomen	ANATOMY	abdomen|abdominal|abd	bidirectional				
abdominopelvic	ANATOMY		bidirectional				
anastamosis site	ANATOMY	anastamosis site|site of anastamosis	bidirectional				
aortic hiatus	ANATOMY		bidirectional				
bladder	ANATOMY		bidirectional				
bowel	ANATOMY	bowels*	bidirectional				
colectomy	ANATOMY		bidirectional				
colon	ANATOMY	col[onic]*	bidirectional				
colorectal	ANATOMY		bidirectional				
diaphragm	ANATOMY	diaphragmatic	bidirectional				
diaphragmatic	ANATOMY		bidirectional				
duodenum	ANATOMY	duodenal|duodenum	bidirectional				
duodenostomy	ANATOMY		bidirectional				
fascia	ANATOMY	fascial*	bidirectional				
flank	ANATOMY		bidirectional				
gallbladder	ANATOMY		bidirectional				
gallbladder	ANATOMY		bidirectional				
gastroesophageal	ANATOMY		bidirectional				
gutter	ANATOMY		bidirectional				
hemidiaphragmatic	ANATOMY		bidirectional				
hepatectomy site	ANATOMY	hepatectomy site|site of hepatectomy	bidirectional				
hepatic	ANATOMY	hepatic	bidirectional				
hepatic	ANATOMY		bidirectional				
hepaticobiliary	ANATOMY		bidirectional				
hepaticojejunostomy	ANATOMY		bidirectional				
iliopsoas	ANATOMY		bidirectional				
ileostomy site	ANATOMY	site of ileostomy|ileostomy site	bidirectional				
incision	ANATOMY		bidirectional				
infrahepatic	ANATOMY		bidirectional				
infrarenal	ANATOMY		bidirectional				
infrasplenic	ANATOMY		bidirectional				
inguinal	ANATOMY		bidirectional				
interloop	ANATOMY		bidirectional				
interloop	ANATOMY		bidirectional				
intra-abdominal	ANATOMY	"intr[az-]{1,3}bdominal"	bidirectional				
intrahepatic	ANATOMY	intrahepatic	bidirectional				
intraloop	ANATOMY		bidirectional				
intrapelvis	ANATOMY	intrapelvi[cs]*	bidirectional				
intraperitoneal	ANATOMY		bidirectional				
jejunostomy	ANATOMY		bidirectional				
jejunum	ANATOMY	"[a-zA-Z]*jejun[a-zA-Z]{2,4}"	bidirectional				
kidney	ANATOMY		bidirectional				
lateral segment	ANATOMY		bidirectional				
left flank	ANATOMY		bidirectional				
left lower quadrant	ANATOMY	left lower quadrant|llq	bidirectional				
left upper quadrant	ANATOMY	left upper quadrant|luq	bidirectional				
lesser sac	ANATOMY		bidirectional				
liver	ANATOMY		bidirectional				
mesentery	ANATOMY	mesenteric|mesentry	bidirectional				
mesentric	ANATOMY		bidirectional				
midline	ANATOMY		bidirectional				
Morison's pouch	ANATOMY	"mor{1,2}ison's sac|mor{1,2}ison's pouch"	bidirectional				
nephrectomy	ANATOMY		bidirectional				
nephrectomy site	ANATOMY	site of nephrectomy|nephrectomy site	bidirectional				
nephric	ANATOMY		bidirectional				
omentum	ANATOMY	omentum|omental	bidirectional				
omentum	ANATOMY		bidirectional				
pancreas	ANATOMY	pancrea[a-z]*	bidirectional				
paracolic gutter	ANATOMY	paracolic gutter	bidirectional				
pararenal	ANATOMY		bidirectional				
pelvis	ANATOMY	pelvi[cs]{1}	bidirectional				
pericolic	ANATOMY		bidirectional				
perigastric	ANATOMY		bidirectional				
perihepatic	ANATOMY		bidirectional				
perinephric	ANATOMY		bidirectional				
peripancreatic	ANATOMY		bidirectional				
perisplenic	ANATOMY		bidirectional				
peritoneal	ANATOMY	[a-z]*peritoneal	bidirectional				
peritoneum	ANATOMY	[a-z]*peritoneum	bidirectional				
perivesicular	ANATOMY		bidirectional				
porta hepatis	ANATOMY		bidirectional				
psoas	ANATOMY		bidirectional				
pubic	ANATOMY		bidirectional				
rectum	ANATOMY	rectum|rectal	bidirectional				
rectus	ANATOMY		bidirectional				
renal	ANATOMY		bidirectional				
resection bed	ANATOMY		bidirectional				
retroperitoneal	ANATOMY		bidirectional				
retroperitoneum	ANATOMY	retroperitoneal|retroperitoneum	bidirectional				
right lower quadrant	ANATOMY	right lower quadrant|rlq	bidirectional				
right upper quadrant	ANATOMY	right upper quadrant|ruq	bidirectional				
sacrum	ANATOMY	[pre ]*sacral|sacrum	bidirectional				
segment	ANATOMY	"segment [VI]{1,2}"	bidirectional				
sigmoid	ANATOMY		bidirectional				
spleen	ANATOMY	"sple{1,2}n[ic]{0,2}"	bidirectional				
splenectomy	ANATOMY		bidirectional				
staples	ANATOMY		bidirectional				
stomach	ANATOMY		bidirectional				
stomach	ANATOMY		bidirectional				
subcapsular	ANATOMY		bidirectional				
subdiaphragmatic	ANATOMY		bidirectional				
subhepatic	ANATOMY	subhepatic	bidirectional				
subhepatic	ANATOMY		bidirectional				
subphrenic	ANATOMY		bidirectional				
suprapubic	ANATOMY		bidirectional				
supravesicular	ANATOMY		bidirectional				
surgical bed	ANATOMY		bidirectional				
transabdominal	ANATOMY		bidirectional				
uncinate process	ANATOMY		bidirectional				
esophageal	ANATOMY	[a-z]*esophag[a-z]*	bidirectional				
uterus	ANATOMY		bidirectional				
although	CONJ		terminate				
apart from	CONJ		terminate				
but	CONJ		terminate				
PFI report	CONJ		terminate				
appears to be	DEFINITE_EXISTENCE		forward				
compatible with	DEFINITE_EXISTENCE		forward				
consistent with	DEFINITE_EXISTENCE		forward				
convincing	DEFINITE_EXISTENCE		forward				
definite	DEFINITE_EXISTENCE		forward				
evidence	DEFINITE_EXISTENCE		forward				
highly suggestive	DEFINITE_EXISTENCE		forward				
is present	DEFINITE_EXISTENCE	(is|are) present	backward				
no significant change	DEFINITE_EXISTENCE		forward				
not significantly changed	DEFINITE_EXISTENCE		backward				
obvious	DEFINITE_EXISTENCE		forward				
persistent	DEFINITE_EXISTENCE		forward				
positive study for	DEFINITE_EXISTENCE	positive (study|exam|examination)( for)	forward				
represents	DEFINITE_EXISTENCE		forward				
still some	DEFINITE_EXISTENCE		FORWARD				
unchanged	DEFINITE_EXISTENCE		bidirectional				
absence of	DEFINITE_NEGATED_EXISTENCE		forward				
adequate to rule the patient out	DEFINITE_NEGATED_EXISTENCE		forward				
are ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
can be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
can be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
can be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
can rule the patient out	DEFINITE_NEGATED_EXISTENCE	can rule (her|him|the patient) out	forward				
cannot see	DEFINITE_NEGATED_EXISTENCE		forward				
cannot totally be excluded	DEFINITE_NEGATED_EXISTENCE		backward				
clear of	DEFINITE_NEGATED_EXISTENCE		bidirectional				
could be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
could be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
could be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
did rule (the patient|him|her) out	DEFINITE_NEGATED_EXISTENCE		forward				
did rule her out against	DEFINITE_NEGATED_EXISTENCE		forward				
did rule out	DEFINITE_NEGATED_EXISTENCE		forward				
does not appear to have	DEFINITE_NEGATED_EXISTENCE		forward				
does not have the appearence of	DEFINITE_NEGATED_EXISTENCE		forward				
fails to reveal	DEFINITE_NEGATED_EXISTENCE		forward				
free of	DEFINITE_NEGATED_EXISTENCE		forward				
has been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
has been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
have been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
have been ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is negative	DEFINITE_NEGATED_EXISTENCE	(is|was) negative	backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE	(is|are) ruled out	backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
is ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
low probability	DEFINITE_NEGATED_EXISTENCE		forward				
may be ruled out	DEFINITE_NEGATED_EXISTENCE		bidirectional				
might be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
might be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
must be ruled out	DEFINITE_NEGATED_EXISTENCE		backward				
must be ruled out for	DEFINITE_NEGATED_EXISTENCE		forward				
negative examination for	DEFINITE_NEGATED_EXISTENCE	negative (examination|study|exam|evaluation) for	forward				
negative for	DEFINITE_NEGATED_EXISTENCE		forward				
neither demonstrates evidence of	DEFINITE_NEGATED_EXISTENCE	neither[ a-z]*(demonstrates)|(shows) evidence of	bidirectional				
never developed	DEFINITE_NEGATED_EXISTENCE		forward				
never had	DEFINITE_NEGATED_EXISTENCE		forward				
no	DEFINITE_NEGATED_EXISTENCE	\bno\b	forward				
no definite	DEFINITE_NEGATED_EXISTENCE	no[\s]*definite	forward				
no definite findings of	DEFINITE_NEGATED_EXISTENCE		forward				
no definite signs of	DEFINITE_NEGATED_EXISTENCE	(no|without) (definite|definitive|secondary|indirect) ((radiographic|sonographic|CT)\s)?signs\s(of|for)	forward				
no evidence	DEFINITE_NEGATED_EXISTENCE		forward				
