Lex	Type		Regex		Direction	Codes
fluid reaccumulation	FLUID_COLLECTION	fluid[- ]re-*accumulation				
abscess	FLUID_COLLECTION	(micro)*ab[a-z]*ess[es]*				
collection	FLUID_COLLECTION	collections*				
complex fluid	FLUID_COLLECTION	complex fluids*				
fluid accumulation	FLUID_COLLECTION	fluid[- ]{1}accumulation				
fluid and air collection	FLUID_COLLECTION	fluid and air collections*				
fluid collection	FLUID_COLLECTION	(collect[ions]* of fluids*)|(fluid collect[ions]*)				
fluid complications	FLUID_COLLECTION	fluid complications*				
fluid locule	FLUID_COLLECTION	fluid locules*				
fluid pocket	FLUID_COLLECTION	fluid pockets*				
hematoma	FLUID_COLLECTION	hematomas*				
heterogeneous collection	FLUID_COLLECTION	heterogeneous collections*				
loculated area	FLUID_COLLECTION					
loculated collection	FLUID_COLLECTION	(multi)*loculated[ a-z] (fluid)|(collections*)				
loculation	FLUID_COLLECTION	loculations*				
air and fluid collection	FLUID_COLLECTION	air[ and/]*fluid collections*				
collection of air and fluid	FLUID_COLLECTION	collections* of air[ and/]*fluid				
locule of fluid	FLUID_COLLECTION	locules* of fluids*				
seroma	FLUID_COLLECTION	seromas*				
locule of air	PSEUDOANCHOR	locules* of air|air locules*				
collection of air	PSEUDOANCHOR	collections* of air|air collections*				
collection of gas	PSEUDOANCHOR	collections* of gas|gas collections*				
collectional	PSEUDOANCHOR					
fluid overload	PSEUDOANCHOR					
fluid resuscitation	PSEUDOANCHOR					
gas locules	PSEUDOANCHOR					
mimics fluid collection	PSEUDOANCHOR	mimics fluid collections*				
non-loculated fluid	PSEUDOANCHOR	non[- ]loculated fluid				
free fluid	PSEUDOCANCHOR					
fluid pocket	FLUID_COLLECTION					
pockets of fluid	FLUID_COLLECTION					
pockets of gas	FLUID_COLLECTION					
biloma	FLUID_COLLECTION					
multiloculated fluid	FLUID_COLLECTION					
air-fluid collection	FLUID_COLLECTION	air[-/ ]fluid collection				
focal fluid	FLUID_COLLECTION					
seroma	FLUID_COLLECTION					
abnormal fluid	FLUID_COLLECTION					
rim-enhancing fluid	FLUID_COLLECTION					
abscesses	FLUID_COLLECTION					
rim-enhancing lesion	FLUID_COLLECTION					
collectin	FLUID_COLLECTION					
loculated peritoneal fluid	FLUID_COLLECTION					
locules of fluid	FLUID_COLLECTION					
pockets of ascites	FLUID_COLLECTION					
loculated fluid	FLUID_COLLECTION	loculated[ a-z]* fluid				
